name,role,country,state,city,industries,sectors,stages,department,ministry,id,email,phone,image,description,budget,type,portfolios,contacts,badges
Chitkara innovation incubator foundation ,Incubator,India,Punjab,Rajpura,Advertising AR VR (Augmented + Virtual Reality) Automotive Art & Photography Chemicals Telecommunication & Networking Agriculture AI Food & Beverages Waste Management Toys and Games,"AdTech Online Classified Others Others Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Electric Vehicles Others Tires & Rubber Products Art Handicraft Others Photography Agricultural Chemicals Commodity Chemicals Diversified Chemicals Others Specialty Chemicals Integrated communication services Network Technology Solutions Others Wireless Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Machine Learning NLP Others Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Others Physical Toys and Games Virtual Games",Prototype Validation EarlyTraction Scaling,,,641ac5cae4b070b7ef2a4e11,XXXXXXX@gmail.com,0,4a1f6fe1-d67b-4dba-85f9-765954b9d0d7.png,"On October 30, 2015, CIIF got registered as a company under section-8 of theCompany Act. A month later CIIF got recognition as a Technology BusinessIncubator from, DST, Govt. of India. Currently, we have over 3 incubators inthe Tricity and around 120 startups raised and mentored by CIIF in the last 5years.Startups incubated with CIIF are from diverse fields like Agritech,Healthtech, Edtech, SAAS, Fintech etc.",,,(6DOF Solutions Pvt. Ltd - URL: https://www.6dof.co.in/) | (80Wash LLP - URL: https://www.80wash.com/) | (Chai Nagri  - URL: http://www.chainagri.in/) | (Uengage Services Private Limited - URL: https://www.uengage.in/) | (Vecrep Technologies Private Limited - URL: https://vecrep.com/) | (Quickstay Private Limited - URL: https://quickstayrooms.com/) | ,"[{'firstName': 'Adarsh Kumar', 'lastName': 'Aggarwal', 'designation': 'Vice President ', 'emailId': 'adarsh.kumar@chitkara.edu.in', 'mobileNumber': '9813355002', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
AIC-JKLU (Atal Incubation Center-JK Lakshmipat University),Incubator,India,Rajasthan,Jaipur,Others,Others,Prototype Validation EarlyTraction Scaling,,,641ac1f7e4b070b7ef2a4c9d,XXXXXXX@gmail.com,0,,"AIC-JKLU Foundation (www.aicjklu.in) is an Atal Incubation Center establishedby Atal Innovation Mission, NITI Aayog, Government of India. AIC-JKLUFoundation is promoted by JK Lakshmipat University (JKLU), the universitySupported by the 125 years old legacy of contributions to nation building bythe JK Organization. JKLU is passionately building the countryâ€™s mostinnovative higher education institution. AIC-JKLU Foundation has one of itskind initiatives to nurture innovation and entrepreneurship across India andto facilitate budding entrepreneurs with world-class resources which will helpthem grow and finally to contribute in the economic growth of the nation. AIC-JKLU Foundation's vision is to develop an incubation center which fostersdynamic needs of the entrepreneurs not only in Rajasthan but across Indiathrough its virtual incubation programs. AIC-JKLU strives to mentor theentrepreneurs and motivate them to expand their wings globally. The focus ofAIC-JKLU Foundation is to support all the startups of all stages and acrossall sectors especially focusing on technology, Healthcare, Energy &Environmental Sustainability.",,,,"[{'firstName': 'Nidhi ', 'lastName': 'Kachhawa', 'designation': 'CEO', 'emailId': 'nidhi@aicjklu.in', 'mobileNumber': '7597556766', 'landlineNumber': '01417107524', 'website': 'https://aicjklu.in/about/', 'socialMediaAccountURL': None}]",[]
BioNEST @ CSIR-IITR,Incubator,India,Uttar Pradesh,Lucknow,Healthcare & Lifesciences Nanotechnology Waste Management,Biotechnology Others Others Others,Prototype Validation EarlyTraction Scaling,,,641ac158e4b070b7ef2a4c65,XXXXXXX@gmail.com,0,aae59b04-04ab-419d-b429-9b69f88526be.jpg,"The BioNEST incubation facility was established in March 2020 at CSIR-IITRwith the support of BIRAC, Department of Biotechnology, Government of India.This bio- incubation and translational research programme is nurtured underCentre for Innovation and Translation Research (CITAR) hub of the instituteand provides incubation support to young innovators and start-ups withindustrially viable ideas to support and translate them into market-reachingproducts. This is a unique bio-incubation ecosystem with the advancedinstrumentation, scientific and technical expertise housed at CSIR-IITR with avision to provide researchers, innovators, and entrepreneurs from academia andindustry to access state-of-the-art platform technologies and mentorship in amultidisciplinary collaborative environment.CITAR-BIRAC-BioNEST is housed at the Technology Development and InnovationCentre (TDIC) building. Exclusive features of this innovation and incubationecosystem are:1) First BioNEST facility awarded and established within CSIR organization.2) Largest BioNEST incubation facility in the state of Uttar Pradesh.3) The only BioNEST incubator with scientific strength highlighted ontoxicology aspects.",,,,"[{'firstName': 'RAMAKRISHNAN', 'lastName': 'PARTHASARATHI', 'designation': 'SCIENTIST-IN-CHARGE', 'emailId': 'partha.ram@iitr.res.in', 'mobileNumber': '7704994437', 'landlineNumber': None, 'website': 'http://iitrindia.org/En/Index.aspx', 'socialMediaAccountURL': None}]",[]
YouthNet Incubation Centre,Incubator,India,Nagaland,Dimapur,Agriculture Fashion Food & Beverages Education Renewable Energy Technology Hardware Human Resources Pets & Animals Social Impact Logistics Travel & Tourism Waste Management,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Apparel Fan Merchandise Fashion Technology Jewellery Lifestyle Others Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Coaching E-learning Education Technology Others Skill Development Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy 3d printing Electronics Embedded Manufacturing Others Semiconductor Internships Others Recruitment Jobs Skills Assessment Talent Management Training Others Corporate Social Responsibility NGO Others Others Experiential Travel Facility Management Holiday Rentals Hospitality Hotel Others Ticketing Wayside Amenities Others,Prototype Validation EarlyTraction Scaling,,,641ac0bce4b070b7ef2a4c3a,XXXXXXX@gmail.com,0,2694fd40-6e92-45d1-83e1-ff82fe5d80c0.png,"YouthNet is a non-profit organization with a mission to help youth acquireknowledge, develop life skills and form attitudes to enable them to becomeself-directing, positive, productive, responsible and contributing members ofsociety through active participation and involvement. Among the variousprograms under the organization, YouthNet Incubation Centre is one of them.  YouthNet Incubation Centre (YIC) is the first incubator in the state ofNagaland under the Startup Nagaland Policy 2019, Department of Industries andCommerce, Government of Nagaland. YouthNet Incubation Centre supports andnurture innovative entrepreneurs and startups in their pursuit to becomescalable and sustainable business. YIC offers a practical and engaging programto help entrepreneurs build business successfully which may include but notlimited to mentoring, coaching, networking opportunities, office space, andaccess to funding sources.",,,(Lovi Twine  - URL: https://www.instagram.com/lovi_twine/?hl=en) | (Clefnote Music Academy  - URL: https://www.clefnotemusicacademy.com/) | ,"[{'firstName': 'Neikepekho ', 'lastName': 'Shosahie', 'designation': 'Manager', 'emailId': 'neikepekho@gmail.com', 'mobileNumber': '8119039063', 'landlineNumber': None, 'website': 'https://www.youthnet.org.in/', 'socialMediaAccountURL': None}]",[]
"Electropreneur Park, Bhubaneswar",Incubator,India,Odisha,Bhubaneswar,Computer Vision Telecommunication & Networking Agriculture AI Green Technology Technology Hardware Healthcare & Lifesciences Internet of Things Robotics,Others Integrated communication services Network Technology Solutions Others Wireless Agri-Tech Fisheries Food Processing Others Machine Learning Others Clean Tech Others Waste Management 3d printing Electronics Embedded Manufacturing Others Semiconductor Assistance Technology Healthcare Technology Medical Devices Biomedical Manufacturing & Warehouse Others Smart Home Wearables Others Robotics Application Robotics Technology,Prototype Validation EarlyTraction Scaling,,,641ab286e4b070b7ef2a481a,XXXXXXX@gmail.com,0,c05a12c3-9c48-4fbc-91f8-1380d24c7ccf.png,"Electropreneur Park (EP), Bhubaneswar is an ESDM Incubation Center set up bySTPI, with support from Ministry of Electronics & IT (MeitY), Govt. of Indiaand Govt. of Odisha as part of its PAN India initiative to create a network ofCenters of Entrepreneurship. EP-BBSR is equipped with state of the artadvanced Lab, plug & play facilities for incubatees in the CoE. EP BBSR bringsin a pool of mentors, academicians, investors & consultants in marketintelligence with the major focus on patenting, converting ideas intosuccessful products. This will help in accelerating innovation, enablingindustry oriented research and development of the talent pool in the ESDMdomain.    The Center of Entrepreneurship (CoE) in ESDM space Electropreneur Park atBhubaneswar aspires to contribute to the ESDM growth story in India. Throughthe vision of â€˜Design in Indiaâ€™ and â€˜Make in Indiaâ€™, this CoE aims at creatingproducts and IP in electronic system design and manufacturing sector.  ",,,(AURASSURE PRIVATE LIMITED - URL: https://aurassure.com/) | (Coratia Technologies Private Limited - URL: https://coratia.com/) | (NISHTULA INSTRUMENT AND INNOVATION PRIVATE LIMITED - URL: https://www.niinnovation.com/home) | ,"[{'firstName': 'Lopa', 'lastName': 'Mishra Jana', 'designation': 'COO', 'emailId': 'lopa.mishra@stpinext.in', 'mobileNumber': '9776316391', 'landlineNumber': None, 'website': 'https://bbs.electropreneurpark.in/', 'socialMediaAccountURL': None}]",[]
DBT_ILS Bioincubator,Incubator,India,Odisha,Bhubaneswar,Agriculture Food & Beverages Healthcare & Lifesciences Biotechnology,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Others,Prototype Validation EarlyTraction Scaling,,,641aa321e4b070b7ef2a42fc,XXXXXXX@gmail.com,0,0670aa16-9096-48c0-8741-77da33688021.png,"DBT-ILS Bioincubator aims to nurturing early stage innovations and developingthem into technologies and products. Our goal is to offer support for lifescience entrepreneurs and young biotech companies through all stages of earlycompany development, turning promising new ideas into fully formed biotechcompanies.",,,(Genomiki Solutions - URL: https://genomiki.com/) | ,"[{'firstName': 'Nivedita ', 'lastName': 'Jena', 'designation': 'COO', 'emailId': 'incubation@ils.res.in', 'mobileNumber': '9556716477', 'landlineNumber': None, 'website': 'https://sites.google.com/ils.res.in/dbt-ils-bioincubator/', 'socialMediaAccountURL': None}]",[]
AIC-Great lakes Balachandran Incubator,Incubator,India,Tamil Nadu,Chennai,Analytics Agriculture AI Education Internet of Things Social Impact Others,Big Data Business Intelligence Data Science Others Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Machine Learning NLP Others Coaching E-learning Education Technology Others Skill Development Manufacturing & Warehouse Others Smart Home Wearables Corporate Social Responsibility NGO Others Others,Prototype Validation EarlyTraction,,,641a8b9fe4b070b7ef2a3b52,XXXXXXX@gmail.com,0,c9003fb6-b2d7-45f5-a387-7d3e4bf24190.jpg,https://www.agbinc.in/,,,"(Whistle Drive Pvt Ltd - URL: https://www.whistledrive.com	) | (Atsuya Technologies Pvt Ltd - URL: http://www.atsuyatech.com) | (Xfinito Biodesigns Pvt Ltd - URL:   https://xfinito.com) | (HESA Technologies Pvt Ltd - URL: https://hesa.co) | (Gibots (Roots Innovation Pvt Ltd)  - URL: https://gibots.com) | (Innogle Technologies Pvt Ltd - URL: https://www.innogle.com) | ","[{'firstName': 'Narmadha', 'lastName': 'Vijai', 'designation': 'Sr. Mgr - Incuabtion', 'emailId': 'narmadha.v@agbinc.in', 'mobileNumber': '9884068776', 'landlineNumber': '0442748000', 'website': 'https://www.agbinc.in/', 'socialMediaAccountURL': None}]",[]
SPARKLE,Incubator,India,Uttar Pradesh,Mathura,AR VR (Augmented + Virtual Reality) Education Technology Hardware Biotechnology,Others Coaching E-learning Education Technology Others Skill Development 3d printing Electronics Embedded Manufacturing Others Semiconductor Others,Prototype Validation EarlyTraction,,,64199080e4b070b7ef2a20e5,XXXXXXX@gmail.com,0,afbc07cb-4b5f-4992-81e6-95b10acd73cf.png,"GLA University,Mathura has set up its Technology Business Incubator asSPARKLE (Society for Promotion & Acceleration of Knowledge basedEntrepreneurship)  The objective of TBI-GLAU will be as follows:  1.    To promote entrepreneurship, start-up, innovation and act as a hand-holding center to support young entrepreneurship.  2.    Assist the incubates (incubated company) in creating a sustainable, scalable & profitable business model  3.    To support and encourage innovative technology based start - ups that have an application and/or impact in the core sectors of the economy.  4.    To provide the start - ups with necessary guidance, tech support, infrastructure, access to investors, networking, and facilitating a host of other resources that may be required for the start - up to survive and scale.  5.    To provide training and mentorship to young entrepreneurs.  ",,,,"[{'firstName': 'Ravikumar', 'lastName': 'Tiwari', 'designation': 'Sr Incubation Manage', 'emailId': 'ravi.tiwari@gla.ac.in', 'mobileNumber': '8208997343', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
Dr Chandrashekhar Talathi,Incubator,India,Maharashtra,Pune,Automotive AI Green Technology Enterprise Software Education Renewable Energy Healthcare & Lifesciences Internet of Things IT Services Social Impact Robotics,"Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Electric Vehicles Others Tires & Rubber Products Machine Learning NLP Others Clean Tech Others Waste Management CXM Cloud Collaboration Customer Support ERP Enterprise Mobility Location Based Others SCM Coaching E-learning Education Technology Others Skill Development Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Manufacturing & Warehouse Others Smart Home Wearables Application Development BPO IT Consulting IT Management KPO Others Product Development Project Management Testing Web Development Corporate Social Responsibility NGO Others Others Robotics Application Robotics Technology",Prototype Validation EarlyTraction Scaling,,,64198bf2e4b070b7ef2a1f49,XXXXXXX@gmail.com,0,83ce2725-6479-4aff-b51e-027364b08a7f.png,Our incubation program aims to take enterprises from idea stage to market tothriving businesses.,,,,"[{'firstName': 'Pradeep ', 'lastName': 'Patil', 'designation': 'Sr.Manager', 'emailId': 'pradeep.patil@fmciii.com', 'mobileNumber': '8421861558', 'landlineNumber': None, 'website': 'https://www.fmciii.com/', 'socialMediaAccountURL': None}]",[]
CIBA,Incubator,India,Goa,South Goa,Enterprise Software Food & Beverages IT Services Professional & Commercial Services Travel & Tourism,CXM Cloud Collaboration Customer Support ERP Enterprise Mobility Location Based Others SCM Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Application Development BPO IT Consulting IT Management KPO Others Product Development Project Management Testing Web Development Business Support Services Business Support Supplies Commercial Printing Services Employment Services Environmental Services & Equipment Others Professional Information Services Experiential Travel Facility Management Holiday Rentals Hospitality Hotel Others Ticketing Wayside Amenities,Prototype Validation EarlyTraction Scaling,,,64195f2ae4b070b7ef2a0d2c,XXXXXXX@gmail.com,0,ee83f71e-8564-487e-8bbf-fd7bd7afe949.png,"Centre for Incubation and Business Acceleration (CIBA) is a TechnologyBusiness Incubator supported by â€œDepartment of Science and Technology, GOI"".CIBA is also acknowledged as the Goa state's Business Incubator by the""Ministry of MSME, GOI"". Since its inception in the year 2012, CIBA hasincubated more than 150 startups from various industries in Goa.  Additionally, through DST's Seed Support System Scheme, and DPIIT's StartupIndia Seed Fund Scheme we have given 24 startups a total of Rs. 2.5 crores inseed funding.  Our team is structured in such a way that we are well-suited to support ourmajor thrust areas:- ITES, Food Processing, Travel, Tourism, andEntertainment, as well as Product Development and Design (Electronics andTangible Products).  Also, we have two standalone centres in Goa, one in Verna which is in South-Goa and one is in Assagao which is situated in North-Goa. The total seatingcapacity of our two centres adds up to 100 Seats and both our centres areequipped with all the necessary amenities such as labs, meeting rooms,conference rooms, modern office spaces, cafeteria, etc.",,,,"[{'firstName': 'Sanjay', 'lastName': 'Mulvi', 'designation': 'Head - SF &amp; I', 'emailId': 'sanjaymulvi12@gmail.com', 'mobileNumber': '7875397298', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
MaDeIT Innovation Foundation,Incubator,India,Tamil Nadu,Chennai,Automotive Agriculture Green Technology Design Technology Hardware Internet of Things,Auto & Truck Manufacturers Electric Vehicles Others Agri-Tech Dairy Farming Fisheries Food Processing Others Clean Tech Others Waste Management Industrial Design Others 3d printing Electronics Embedded Manufacturing Others Semiconductor Manufacturing & Warehouse Others Smart Home Wearables,Prototype Validation EarlyTraction Scaling,,,641889fae4b070b7ef29ed58,XXXXXXX@gmail.com,0,629f4436-7392-49e4-9f69-3bf9dca77153.png,"MaDeIT Innovation Foundation is a design-driven Technology Business Incubatorpromoted by the Indian Institute of Information Technology Design andManufacturing Kancheepuram. MaDeIT aims to support innovations and nurturestartups that are developing design-driven and technology intensive physicalproducts in the domains of Manufacturing, Agri Tech, Healthcare and Clean-tech.",,,,"[{'firstName': 'Karthikeyan', 'lastName': 'A K', 'designation': 'CEO', 'emailId': 'ceo_madeit@iiitdm.ac.in', 'mobileNumber': '9962608335', 'landlineNumber': None, 'website': 'http://www.madeit.iiitdm.ac.in/', 'socialMediaAccountURL': None}]",[]
Gujarat Student startups and innovation hub (i-hub),Incubator,India,Gujarat,Ahmedabad,AI Renewable Energy Healthcare & Lifesciences Marketing Social Impact Biotechnology,Machine Learning NLP Others Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Branding Digital Marketing (SEO Automation) Discovery Loyalty Market Research Others Sales Corporate Social Responsibility NGO Others Others,Scaling,,,64184bd8e4b070b7ef29e0f4,XXXXXXX@gmail.com,0,a3fd0bc4-ee28-4c6b-a55f-49dca9308115.png,"Highly capable and motivated biotechnologist and microbiologist professional,I haveexperience in the field of diagnostic, academic, and research and developmentin life sciences.Also work in health sector start-ups to manage their portfolios, design thestart-up's policiesand accelerator programs for start-up companies.â€¢ Project management, leadership, effective communication skills, team work,start-up profilesmanagement, mentor assistance to startups, write project proposals andresearch skillsâ€¢ Diversified work experience in the area of Academic, genetic counseling,diagnosticpathology lab work (genetics and molecular biology departments), research aswell asmanagement in government incubation start-ups ecosystem.â€¢ Well-versed work on bio-instruments like Next generation sequencing (NSG),Gradient PCR,Real-time PCR, Flow Cytometry, FluorescentMicroscopy, Mass spectroscopy, Size-exclusionand ion-exchange chromatography.",,,(Lymbedge LLP - URL: https://www.lymbedge.com/) | ,"[{'firstName': 'Yash ', 'lastName': 'Pandya', 'designation': 'Program Manager', 'emailId': 'pandyayash10@gmail.com', 'mobileNumber': '9427509909', 'landlineNumber': '9909906457', 'website': 'https://ihubgujarat.in/', 'socialMediaAccountURL': None}]",[]
INURTURE INCUBATION FOUNDATION,Incubator,India,Uttar Pradesh,Ghaziabad,Automotive Agriculture Finance Technology Education Robotics,"Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Electric Vehicles Others Tires & Rubber Products Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Accounting Advisory Billing and Invoicing Bitcoin and Blockchain Business Finance Crowdfunding Foreign Exchange Insurance Microfinance Mobile wallets  Payments Others P2P Lending Payment Platforms Personal Finance Point of Sales Trading Coaching E-learning Education Technology Others Skill Development Others Robotics Application Robotics Technology",Validation EarlyTraction,,,64183c6ee4b070b7ef29dbef,XXXXXXX@gmail.com,0,9a57c9cf-3f61-4bcb-b894-d390ff3219b8.png,"iNIF is a Technology Business Incubator at ABES-EC, which is a separate legalentity registered under section 8 of Companies Act 2013. iNIF is establishedwith the purpose to reduce the risk of doing innovation or business throughmentoring and support to youth willing to become Innovator or Entrepreneur.  A dedicated state-of-art space of around 16000 sq. ft. area with incubationfacilities like co-working space, high-end internet connection,conference/meeting room, workshop, computer lab etc. The experienced andknowledgeable mentorsâ€™ pool connected with incubation centre provides supportto students in its entrepreneurial journey.  ",,,,"[{'firstName': 'Mahendra Kumar ', 'lastName': 'Gupta', 'designation': 'CEO', 'emailId': 'mahendra.hupta@abes.ac.in', 'mobileNumber': '9899904331', 'landlineNumber': '01207135159', 'website': 'http://www.inurture.net/', 'socialMediaAccountURL': None}]",[]
PDEU Innovation and Incubation Centre,Incubator,India,Gujarat,Gandhinagar,Renewable Energy Non- Renewable Energy Waste Management,Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Oil & Gas Drilling Oil & Gas Exploration and Production Oil & Gas Transportation Services Oil Related Services and Equipment Others Others,Prototype Validation EarlyTraction Scaling,,,64181079e4b070b7ef29cac5,XXXXXXX@gmail.com,0,f36dd70a-af6f-4834-ace7-c74bb37fdaec.jpg,"PDEU Innovation and Incubation Centre (PDEU IIC), formerly known as PDPUInnovation and Incubation Centre (PDPU IIC) is an incubator at PDEUestablished in 2014. The Centre was formally established in 2017 u/s 8 ofCompanies Act, 2013, with a vision to provide state of the art support aridservice to innovators, technocrats and entrepreneurs who aim to create asocial and economic pact in the society through innovative solutions toexisting problems. The centre acts complementary to the academic and researchactivities of the University.",,,,"[{'firstName': 'Abhinav', 'lastName': 'Kapadia', 'designation': 'Director', 'emailId': 'iic@pdpu.ac.in', 'mobileNumber': '7923275163', 'landlineNumber': '07923275163', 'website': 'https://www.iic.pdpu.ac.in/en', 'socialMediaAccountURL': None}]",[]
Vignan TBI,Incubator,India,Andhra Pradesh,Guntur,Agriculture Renewable Energy Biotechnology Waste Management,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Others Others,Prototype Validation EarlyTraction Scaling,,,64176096e4b070b7ef29ad0c,XXXXXXX@gmail.com,0,,Incubator at Vignan University Guntur,,,,"[{'firstName': 'Sandeep', 'lastName': 'Satheesan', 'designation': 'CEO', 'emailId': 'ceo_vfstrtbi@vignan.ac.in', 'mobileNumber': '9515928938', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
IPU Innovation & Incubation Foundation,Incubator,India,Delhi,South West Delhi,Computer Vision AI Technology Hardware Internet of Things,Others Machine Learning NLP Others 3d printing Electronics Embedded Manufacturing Others Semiconductor Manufacturing & Warehouse Others Smart Home Wearables,Prototype Validation EarlyTraction Scaling,,,6416c37ee4b070b7ef299448,XXXXXXX@gmail.com,0,431bc498-3f83-4132-8088-28db56e8285b.jpg,IPU Innovation & Incubation Foundation is established by Guru Gobind SinghIndraprastha University to promote start-up and enterpreneurship skill amongstudent of the university.,,,,"[{'firstName': 'Amit Prakash', 'lastName': 'Singh', 'designation': 'Director', 'emailId': 'incubation@ipu.ac.in', 'mobileNumber': '9899166168', 'landlineNumber': '25302751', 'website': 'http://ipu.ac.in/ipuiif.php', 'socialMediaAccountURL': None}]",[]
Manisha Acharya,Incubator,India,Delhi,South Delhi,Agriculture,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others,Scaling,,,64158eb9e4b070b7ef295641,XXXXXXX@gmail.com,0,53014d2b-c1e6-4392-9daa-1a663b79a8c4.jpg,"Indigram Labs Foundation (ILF) was founded in 2015, as a Technology BusinessIncubator with the support of NSTEDB, DST, GoI. We believe that entrepreneurshave a unique opportunity to make the positive global change while remainingprofitable. They have the power to change lives and livelihoods in thecommunities and the country. We see them as the conduit for real change anddevelopment â€“ a ripple effect that begins with the business and moves into thecommunity at the grassroots level.",,,,"[{'firstName': 'Ram Narayan ', 'lastName': 'Ghatak', 'designation': 'CEO', 'emailId': 'ceo@indigramlabs.org', 'mobileNumber': '9810459668', 'landlineNumber': None, 'website': 'https://indigramlabs.org/', 'socialMediaAccountURL': None}]",[]
Marathwada Accelerator for Growth and Incubation Council,Incubator,India,Maharashtra,Aurangabad,Analytics Advertising AR VR (Augmented + Virtual Reality) Automotive Agriculture AI Fashion,"Big Data Business Intelligence Data Science Others AdTech Online Classified Others Others Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Electric Vehicles Others Tires & Rubber Products Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Machine Learning NLP Others Apparel Fan Merchandise Fashion Technology Jewellery Lifestyle Others",Prototype Validation EarlyTraction,,,6415792ce4b070b7ef294c51,XXXXXXX@gmail.com,0,7c093782-84b4-40fc-9415-a1297cd84181.png,"Marathwada Accelerator for Growth and Incubation Council (MAGIC) ChhatrapatiSambhajinagar ( formally Aurangabad) is Business Incubator (BI), Recognized byMaharashtra State Innovation Society (MSInS), Government of Maharashtra. MAGICis also approved Host Institute/Business Incubator under Scheme to SupportEntrepreneurial and Managerial Development of MSMEs through Incubators,Ministry of MSME, Govt, of India, Partner Incubator of iDEX DIO, Ministry ofDefence, Govt. of India for supporting Startups and Accelerating Growth ofSmall and Medium Enterprises (SMEâ€™s) in Marathwada Region of MaharashtraState.",,,,"[{'firstName': 'Nikhil', 'lastName': 'Bhalerao', 'designation': 'Digital Head', 'emailId': 'contact@magicaurangabad.com', 'mobileNumber': '9130100095', 'landlineNumber': None, 'website': 'https://www.magicaurangabad.com', 'socialMediaAccountURL': None}]",[]
Vignan TBI,Incubator,India,Andhra Pradesh,Guntur,Education Renewable Energy Healthcare & Lifesciences Internet of Things IT Services Biotechnology,Coaching E-learning Education Technology Others Skill Development Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Manufacturing & Warehouse Others Smart Home Wearables Application Development BPO IT Consulting IT Management KPO Others Product Development Project Management Testing Web Development Others,Prototype Validation EarlyTraction Scaling,,,64154296e4b070b7ef2932b8,XXXXXXX@gmail.com,0,5b5777f8-c1c0-4a0e-936b-8ece629c1a5e.jpg,"Energy sector is currently witnessing a massive transformation worldwide, andmore specifically in the Indian context. With a focus on clean energy, therehas been much interest towards integrating new and renewable energy sourcesalong with sustainable environmental solutions. Traditionally also energysector has been an extremely important area in terms of job & wealth creation,social welfare of citizens, energy security as well as overall of growth ofIndian economy. Considering these possibilities Vignan-TBI will focus on thethematic areas of Energy, Clean-Tech and Industrial Internet of Things (IIoT).  The areas are chosen considering the expertise available at Vignan University& Othet Industrial Experts  and their social, economic and environmentalsignificance. With its core philosophy to provide and nurture a long termengagement with qualified startups in the identified thematic area, Vignan-TBIwill ensure the success of technology-driven business enterprises. These areashave been specifically chosen to ensure that the under-served and unservedareas are focused to bring about an inclusive growth.",,,,"[{'firstName': 'Abdul', 'lastName': 'Riyaz', 'designation': 'Incubation Manager', 'emailId': 'ar_vfstr@vignan.ac.in', 'mobileNumber': '7671979496', 'landlineNumber': None, 'website': 'https://vignan.ac.in/vignanTBI/', 'socialMediaAccountURL': None}]",[]
